confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,orth,name,pk,valueset_pk,word_pk
,StandardOrth,,,4-221-190-1,{},,ear lobe,ir loʊb ,63946,48933,59128
,StandardOrth,,,4-222-190-1,{},,earwax,ˈɪrˌwæks ,63947,48934,58880
,StandardOrth,,,4-230-190-1,{},,nose,noʊz ,63948,48935,58758
,StandardOrth,,,4-231-190-1,{},,nostril,ˈnɑstrɪl ,63949,48936,58667
,StandardOrth,,,4-232-190-1,{},,mucus,ˈmjukəs ,63950,48937,58703
,StandardOrth,,,4-240-190-1,{},,mouth,maʊθ ,63951,48938,58231
,StandardOrth,,,4-241-190-1,{},,beak,bik ,63952,48939,59378
,StandardOrth,,,4-250-190-1,{},,lip,lɪp ,63953,48940,58992
,StandardOrth,,,4-260-190-1,{},,tongue,tʌŋ ,63954,48941,59265
,StandardOrth,,,4-270-190-1,{},,tooth,tuθ ,63955,48942,58633
,StandardOrth,,,4-271-190-1,{},,gums,gʌmz ,63956,48943,59251
,StandardOrth,,,4-272-190-1,{},,molar,molar ,63957,48944,58088
,StandardOrth,,,4-280-190-1,{},,neck,nɛk ,63958,48945,58520
